mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_actual_estimator__fit_intercept,param_actual_estimator__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.44139649868011477,0.37155691596977836,0.10889363288879395,0.08386362158890318,True,0.51,"{'actual_estimator__fit_intercept': True, 'actual_estimator__alpha': 0.51}",0.7619047619047619,0.8095238095238095,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.9523809523809523,0.8095238095238095,0.7,0.85,0.75,0.8061904761904761,0.07608027744941553,8
0.23539671897888184,0.1404940198637397,0.14132530689239503,0.15818731438815456,True,9.8,"{'actual_estimator__fit_intercept': True, 'actual_estimator__alpha': 9.8}",0.7619047619047619,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.9523809523809523,0.9047619047619048,0.8095238095238095,0.7,0.85,0.75,0.8109523809523809,0.0715332566204076,6
0.23374671936035157,0.11909084366876381,0.08321788311004638,0.05915622781550997,False,2.12,"{'actual_estimator__fit_intercept': False, 'actual_estimator__alpha': 2.12}",0.7619047619047619,0.8095238095238095,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.9523809523809523,0.8095238095238095,0.7,0.85,0.75,0.8061904761904761,0.07608027744941553,8
0.1166677474975586,0.010441868381482342,0.04967312812805176,0.006602206494502179,True,3.9,"{'actual_estimator__fit_intercept': True, 'actual_estimator__alpha': 3.9}",0.7619047619047619,0.8095238095238095,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.9523809523809523,0.8095238095238095,0.7,0.85,0.75,0.8061904761904761,0.07608027744941553,8
0.11601922512054444,0.0037430776588054677,0.05070035457611084,0.003556888204495219,False,5.34,"{'actual_estimator__fit_intercept': False, 'actual_estimator__alpha': 5.34}",0.7619047619047619,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.9523809523809523,0.9523809523809523,0.8095238095238095,0.7,0.85,0.75,0.8157142857142856,0.07883217916343127,1
0.14988222122192382,0.033431435619289095,0.06916818618774415,0.025452209427671863,False,5.83,"{'actual_estimator__fit_intercept': False, 'actual_estimator__alpha': 5.83}",0.7619047619047619,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.9523809523809523,0.9523809523809523,0.8095238095238095,0.7,0.85,0.75,0.8157142857142856,0.07883217916343127,1
0.14887490272521972,0.015882165537206592,0.0652475357055664,0.013085177651727281,True,9.21,"{'actual_estimator__fit_intercept': True, 'actual_estimator__alpha': 9.21}",0.7619047619047619,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.9523809523809523,0.9047619047619048,0.8095238095238095,0.7,0.85,0.75,0.8109523809523809,0.0715332566204076,6
0.1486987829208374,0.012050229506952451,0.07456302642822266,0.021343851076481013,False,9.39,"{'actual_estimator__fit_intercept': False, 'actual_estimator__alpha': 9.39}",0.7619047619047619,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.9523809523809523,0.9523809523809523,0.8095238095238095,0.7,0.85,0.75,0.8157142857142856,0.07883217916343127,1
0.15221941471099854,0.029134828111684132,0.06811826229095459,0.015938921446249206,False,6.67,"{'actual_estimator__fit_intercept': False, 'actual_estimator__alpha': 6.67}",0.7619047619047619,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.9523809523809523,0.9523809523809523,0.8095238095238095,0.7,0.85,0.75,0.8157142857142856,0.07883217916343127,1
0.15458495616912843,0.019819307828281583,0.05852377414703369,0.013610473413187161,False,7.96,"{'actual_estimator__fit_intercept': False, 'actual_estimator__alpha': 7.96}",0.7619047619047619,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.9523809523809523,0.9523809523809523,0.8095238095238095,0.7,0.85,0.75,0.8157142857142856,0.07883217916343127,1
