iter	Logloss
0	0.689093701
1	0.6859524194
2	0.6828512655
3	0.6799339514
4	0.6764271611
5	0.6737513476
6	0.6708942022
7	0.6676337843
8	0.6647422247
9	0.661091407
10	0.6581053168
11	0.6551862733
12	0.6524932876
13	0.6490426976
14	0.646325647
15	0.6437198252
16	0.6406564562
17	0.6372779991
18	0.6339947513
19	0.6299869827
20	0.6260484123
21	0.6239289562
22	0.6205855769
23	0.6176880075
24	0.6149392989
25	0.612038809
26	0.60896642
27	0.6058606887
28	0.6030965148
29	0.6000726069
30	0.5970598244
31	0.5941755035
32	0.5910047447
33	0.5891165961
34	0.5862862283
35	0.5839103642
36	0.5814920774
37	0.5782935404
38	0.5750015416
39	0.5725085281
40	0.5706409769
41	0.5678141387
42	0.5653374382
43	0.5623589694
44	0.5604999441
45	0.5575857186
46	0.5550175553
47	0.5530167999
48	0.5507709359
49	0.5480084008
50	0.5455076541
51	0.5427243475
52	0.5408262453
53	0.5382497877
54	0.5353606736
55	0.532895366
56	0.5304900686
57	0.5271711423
58	0.5240700909
59	0.5219597525
60	0.5199104501
61	0.5172773073
62	0.5150713914
63	0.5127028674
64	0.5095906866
65	0.5081353704
66	0.5062255635
67	0.5040263176
68	0.5023808913
69	0.5000316791
70	0.4975766132
71	0.4953002122
72	0.4933673431
73	0.4907783066
74	0.4882719563
75	0.4861276956
76	0.4846017001
77	0.4826129492
78	0.4807908312
79	0.4786351362
80	0.4771299688
81	0.4754548732
82	0.473767182
83	0.4722265793
84	0.4702252033
85	0.4680833637
86	0.4664892118
87	0.4641447513
88	0.4626175251
89	0.4609404615
90	0.4591556603
91	0.4571495158
92	0.4551747489
93	0.4530839782
94	0.4517232908
95	0.4498528866
96	0.4478641398
97	0.4460642433
98	0.4443891159
99	0.4423478273
100	0.4403453445
101	0.4385022739
102	0.4365361225
103	0.4348070729
104	0.4332514344
105	0.4316021296
106	0.4296241224
107	0.4279173253
108	0.4263079793
109	0.4248478542
110	0.4231942127
111	0.4215845668
112	0.4199242361
113	0.4179902243
114	0.4163712328
115	0.414682522
116	0.4132807233
117	0.4118015192
118	0.41054603
119	0.4087109858
120	0.4075714709
121	0.4060799532
122	0.40433284
123	0.402744104
124	0.4012813458
125	0.3997209395
126	0.3984946271
127	0.3970937578
128	0.3954411373
129	0.3938674724
130	0.3920927579
131	0.3904933668
132	0.3889862118
133	0.3871749873
134	0.3859653424
135	0.384937824
136	0.3836202612
137	0.3823585286
138	0.3808676444
139	0.3796304584
140	0.3782347456
141	0.3769764507
142	0.3759249105
143	0.3746122134
144	0.3733856896
145	0.3721901043
146	0.3711076797
147	0.3692990609
148	0.367809028
149	0.3665290911
150	0.3653674285
151	0.3641385992
152	0.3633997895
153	0.3624871521
154	0.3614493685
155	0.3601938508
156	0.3592123279
157	0.3573654524
158	0.3559334244
159	0.3548359994
160	0.3533341024
161	0.3521935798
162	0.3509756486
163	0.3496984929
164	0.3485657588
165	0.3470926079
166	0.3456826388
167	0.3442666303
168	0.3433520471
169	0.3421084064
170	0.3405750068
171	0.3393487304
172	0.3379591135
173	0.3369411116
174	0.3358004161
175	0.3346986789
176	0.3334386656
177	0.3327741789
178	0.3317525245
179	0.330740026
180	0.3300601951
181	0.3292482717
182	0.3281266228
183	0.3268020325
184	0.3255483643
185	0.3245508566
186	0.3238180575
187	0.3230831377
188	0.3220944964
189	0.3211542282
190	0.3199585461
191	0.3188234789
192	0.3177661232
193	0.3170039715
194	0.3160180763
195	0.3152245769
196	0.3140532884
197	0.3132481667
198	0.312064118
199	0.3111244164
200	0.3098174506
201	0.3087185357
202	0.3078592844
203	0.3073665199
204	0.3063102758
205	0.3055543131
206	0.3046236223
207	0.3037587232
208	0.3029609175
209	0.3021209535
210	0.3010781844
211	0.3001567568
212	0.2993062452
213	0.297945701
214	0.2971794157
215	0.2959971625
216	0.2954559486
217	0.2944391437
218	0.2937866412
219	0.2931099952
220	0.2921430217
221	0.2913579418
222	0.2903892115
223	0.2892832166
224	0.28845472
225	0.2875607911
226	0.2866874958
227	0.28621485
228	0.2853171395
229	0.2844505138
230	0.2834871405
231	0.2827436543
232	0.2819991579
233	0.2809512873
234	0.2799810214
235	0.2792926455
236	0.2784087363
237	0.2777075485
238	0.276781433
239	0.2760362213
240	0.2751951642
241	0.2744862953
242	0.2736476789
243	0.2728289937
244	0.2718198127
245	0.2714769066
246	0.2705659946
247	0.2695904718
248	0.2686271735
249	0.268119726
250	0.2675374888
251	0.2666648903
252	0.2656452588
253	0.26481021
254	0.2640164925
255	0.2631357386
256	0.2625945647
257	0.2619364501
258	0.2613381098
259	0.2605784142
260	0.2598816187
261	0.2590934819
262	0.2585770734
263	0.2579262306
264	0.2573355989
265	0.2565394523
266	0.2559803079
267	0.2551983521
268	0.2543867679
269	0.2537973197
270	0.2531687132
271	0.2525455067
272	0.2518655652
273	0.2511503045
274	0.250556692
275	0.2495988675
276	0.2487629074
277	0.2482703218
278	0.2477346075
279	0.2470234626
280	0.2465383152
281	0.2460231818
282	0.245436548
283	0.2447721731
284	0.244341583
285	0.2438952056
286	0.2432806062
287	0.2430194014
288	0.2426106616
289	0.2418013701
290	0.2411064364
291	0.2405207108
292	0.2399935102
293	0.2393549718
294	0.2386506771
295	0.2379437937
296	0.2372564292
297	0.2366931057
298	0.2362358914
299	0.2355409566
300	0.2350668668
301	0.2343776828
302	0.2339416146
303	0.2334662283
304	0.2329724191
305	0.2324204623
306	0.2317563449
307	0.2312114859
308	0.2308017427
309	0.23030617
310	0.2296960999
311	0.2291122841
312	0.2285454998
313	0.2280013217
314	0.2272657986
315	0.2267347212
316	0.2263620146
317	0.2258721412
318	0.2253462531
319	0.2248324764
320	0.2242403903
321	0.2237216812
322	0.223266926
323	0.2228295766
324	0.2224256255
325	0.2218423707
326	0.2213292202
327	0.2207296952
328	0.2203563298
329	0.2198725687
330	0.2194276434
331	0.2189800242
332	0.2184129044
333	0.2179434576
334	0.2173434932
335	0.2168523276
336	0.2164994884
337	0.2161259682
338	0.2155436732
339	0.2149037412
340	0.2143140577
341	0.2137545138
342	0.2131616117
343	0.212677944
344	0.2121354593
345	0.2116082556
346	0.2111878321
347	0.210736993
348	0.2102469697
349	0.2096374072
350	0.2092999263
351	0.2086143242
352	0.2081639208
353	0.2077237853
354	0.2071407831
355	0.2067630555
356	0.2062146283
357	0.2054482508
358	0.2048738034
359	0.2044105266
360	0.2040207773
361	0.203578254
362	0.2030364754
363	0.2026137863
364	0.2021553234
365	0.2017727482
366	0.2013809239
367	0.2010174388
368	0.2005948111
369	0.2001468183
370	0.1996616371
371	0.1992223386
372	0.1986663858
373	0.1980969734
374	0.1977444518
375	0.1972528346
376	0.196763156
377	0.1963642934
378	0.1958856011
379	0.1954237456
380	0.1948538195
381	0.1943903621
382	0.1937725876
383	0.1933626625
384	0.1928159478
385	0.192388961
386	0.1920653557
387	0.1917121337
388	0.1912797358
389	0.1908539116
390	0.1901837501
391	0.1896727933
392	0.1892800675
393	0.1889412256
394	0.1883672537
395	0.1880432834
396	0.1877086064
397	0.1873425061
398	0.1869040605
399	0.1866143057
400	0.1860843454
401	0.1857030084
402	0.185154175
403	0.1848160815
