iter	Passed	Remaining
0	4	4686
1	7	3667
2	9	3248
3	13	3256
4	15	3088
5	19	3285
6	21	3120
7	24	3056
8	27	2980
9	30	3026
10	32	2908
11	35	2905
12	37	2853
13	40	2854
14	42	2823
15	45	2811
16	48	2788
17	50	2735
18	51	2672
19	54	2680
20	58	2715
21	60	2710
22	63	2710
23	67	2764
24	69	2724
25	71	2679
26	73	2663
27	77	2695
28	80	2690
29	82	2657
30	84	2635
31	85	2589
32	87	2566
33	89	2555
34	91	2528
35	93	2501
36	96	2501
37	98	2481
38	101	2494
39	104	2497
40	107	2511
41	110	2516
42	111	2483
43	113	2472
44	116	2465
45	118	2459
46	120	2443
47	123	2441
48	127	2474
49	129	2462
50	132	2470
51	134	2458
52	136	2436
53	138	2427
54	141	2434
55	143	2422
56	147	2434
57	150	2444
58	153	2443
59	155	2434
60	157	2423
61	159	2409
62	161	2397
63	162	2383
64	165	2375
65	168	2381
66	171	2387
67	176	2416
68	179	2415
69	181	2410
70	183	2401
71	185	2390
72	188	2399
73	191	2391
74	193	2389
75	197	2402
76	199	2393
77	202	2387
78	203	2374
79	205	2362
80	207	2354
81	210	2355
82	212	2345
83	215	2351
84	218	2349
85	219	2337
86	223	2350
87	226	2347
88	229	2347
89	231	2341
90	233	2337
91	235	2325
92	238	2325
93	240	2315
94	242	2307
95	245	2311
96	247	2304
97	250	2303
98	252	2299
99	254	2292
100	257	2293
101	262	2312
102	265	2312
103	267	2307
104	270	2304
105	272	2296
106	274	2292
107	276	2283
108	279	2282
109	282	2287
110	284	2278
111	286	2269
112	289	2271
113	291	2267
114	293	2259
115	295	2254
116	298	2250
117	300	2244
118	302	2236
119	304	2232
120	306	2226
121	308	2222
122	310	2213
123	313	2212
124	314	2203
125	316	2197
126	319	2197
127	321	2189
128	323	2182
129	326	2186
130	329	2186
131	331	2180
132	334	2178
133	335	2169
134	337	2162
135	338	2153
136	340	2146
137	342	2139
138	345	2141
139	347	2137
140	351	2141
141	354	2139
142	356	2136
143	358	2133
144	362	2137
145	364	2134
146	368	2136
147	370	2133
148	372	2128
149	376	2130
150	379	2133
151	382	2136
152	385	2131
153	387	2128
154	389	2124
155	393	2128
156	396	2128
157	399	2126
158	401	2124
159	404	2121
160	407	2125
161	409	2120
162	412	2119
163	415	2117
164	417	2114
165	420	2112
166	422	2106
167	424	2104
168	428	2104
169	430	2099
170	432	2095
171	435	2097
172	437	2092
173	440	2092
174	443	2090
175	445	2085
176	447	2079
177	449	2076
178	452	2074
179	454	2069
180	457	2068
181	459	2063
182	460	2056
183	462	2051
184	464	2045
185	467	2043
186	469	2041
187	472	2041
188	474	2035
189	475	2028
190	478	2024
191	480	2021
192	483	2023
193	486	2023
194	489	2021
195	492	2019
196	494	2014
197	496	2011
198	498	2004
